generation,avg,stddev,min,max
0,0.02,0.0,0.02,0.02
1,0.024,0.004898979485566355,0.02,0.03
2,0.09766778594523513,0.2772780009387273,0.02,1.2183302059937033
3,0.1893933841125133,0.3899831113658031,0.02,1.1840445056503528
4,0.46710330760605673,0.549949164386947,0.02,1.2352685509790993
5,0.7046100887470803,0.5677897382133272,0.02,1.3443483482416028
6,0.8605340597466767,0.5375273606898964,0.03,1.3443483482416028
7,1.0601535239409865,0.41761960728313763,0.03,1.458016362187236
8,1.1892679473548227,0.3043202124088339,0.03,1.5061153350353402
9,1.100752640584992,0.4722704175088116,0.04,1.5158572103456074
10,1.096590546497517,0.47085965597249213,0.04,1.507152910288421
11,1.190862610607582,0.4891697060768152,-1.0,1.7060472690404274
12,1.1281212529969316,0.5672507138030449,-1.0,1.706108805549301
13,1.1381267249333489,0.5042026013468995,0.04,1.706108805549301
14,1.3117319523976796,0.3163583192986435,0.06,1.706596297223017
15,1.2801513861741785,0.40555816571196335,0.03,1.706596297223017
16,1.1830593863997734,0.4894547589066014,0.03,1.7098531269302248
17,1.2977614881043484,0.49317163142908094,-1.0,1.706596297223017
18,1.3066365957443116,0.3709522738411063,0.04,1.706596297223017
19,1.3707440479518127,0.28624065421061756,0.06,1.8495712261823236
20,1.2656807194470912,0.3752002842271838,0.03,1.849387641809249
