generation,avg,stddev,min,max
0,0.02,0.0,0.02,0.02
1,0.0246,0.004983974317750844,0.02,0.03
2,0.050517594141181024,0.15660389121341026,0.02,1.145879707059051
3,0.19714608827517627,0.4069741590828305,0.02,1.233730453336508
4,0.3625966785917763,0.5196637118448592,0.02,1.3494874734199807
5,0.844181104726228,0.554494814803201,0.02,1.5829569860366508
6,0.9935897736594511,0.4844492212787636,0.02,1.5923597467330373
7,1.0606396750457159,0.4848778262088796,0.03,1.5813682882096316
8,0.9800891779904266,0.5628202943389382,0.02,1.5838657909651643
9,1.1099563307942473,0.48519864940918334,0.03,1.6893719081011833
10,1.1608107337888496,0.5057626171569911,0.02,1.6529960805314414
11,1.1521477741598334,0.5069975445063251,0.02,1.7058577800509758
12,1.0820044361621766,0.5386377489320414,0.04,1.706014409646281
13,1.0472511199487018,0.5794723444220086,0.02,1.706014409646281
14,1.1295210720138795,0.4984097306118225,0.03,1.7027332946997435
15,1.2730557896341157,0.40822457579435967,0.03,1.813362951477296
16,1.225639443544998,0.43817139340021083,0.05,1.814340610995718
17,1.1023163616665335,0.5940677066691409,0.03,1.8129780019932684
18,1.3058354090656021,0.3273026925334479,0.05,1.8128264797125984
19,1.2239177858627066,0.48571648743868945,0.03,1.8123095693163083
20,1.20891802713469,0.5095177677647276,0.04,1.8123095693163083
