generation,avg,stddev,min,max
0,-0.01,0.0,-0.01,-0.01
1,-0.010199999996432927,0.0007916227916836403,-0.0133333333265851,-0.01
2,-0.010266666661037505,0.0009043106453272842,-0.013333333331559843,-0.01
3,-0.010333333308527785,0.0009999999255833629,-0.013333333328724741,-0.01
4,-0.010133333301162211,0.0006531972657178543,-0.01333333330784823,-0.009999998446226867
5,-0.010266665536894697,0.0009043108319905429,-0.013333333226733395,-0.009999954556563093
6,-0.010057565692298955,0.00040312393860498065,-0.012879433125242375,-0.009999100730373578
7,-0.009999850949052648,3.0186549617629075e-07,-0.01,-0.009999001173241161
8,-0.010185825014175426,0.0007383993482246616,-0.013360266740776727,-0.009999001173241161
9,-0.030001481138777004,0.1385735215539353,-1.0,-0.009999001173241161
10,-0.030127685865424844,0.1385566983464882,-1.0,-0.009999001173241161
11,-0.010196470569769236,0.0007833503859261848,-0.013692681026367138,-0.009999001173241161
12,-0.01013217002618403,0.0006505453737888445,-0.01332806025751562,-0.009999001173241161
13,-0.01046959132609247,0.0011681342090980775,-0.01377140810406952,-0.009999001173241161
14,-0.010142636950494095,0.0007015784945601395,-0.013693700877595073,-0.009998890812396667
15,-0.010206531471654996,0.0008209925006053827,-0.013680690270237114,-0.009998890812396667
16,-0.010328939005498201,0.000990098372241116,-0.013474408280942643,-0.009998890812396667
17,-0.01026708850847589,0.0009079882088122845,-0.013456276018083494,-0.009998890812396667
18,-0.0299439911425168,0.13858123900353053,-1.0,-0.009998890812396667
19,-0.02993408065794011,0.13858241137317673,-1.0,-0.009998890812396667
20,-0.010138033254613448,0.0006803790359311261,-0.013722539475108335,-0.009998890812396667
