generation,avg,stddev,min,max
0,0.02,0.0,0.02,0.02
1,0.0208,0.0027129319932501068,0.02,0.03
2,0.024400000000000005,0.004963869458396342,0.02,0.03
3,0.0302,0.0031559467676119004,0.02,0.04
4,0.033,0.004582575694955841,0.03,0.04
5,0.03880000000000001,0.005878775382679629,0.03,0.05
6,0.0454,0.0053702886328390225,0.03,0.05
7,0.10843186002156326,0.2321715637795944,0.04,1.0438979234604262
8,0.3247625842734601,0.43762757216285664,0.03,1.0485835779414814
9,0.6061455859758152,0.4898365001950137,0.03,1.160616115368955
10,0.7455504858165706,0.47501203424093036,0.04,1.1731311359139978
11,0.6247631138345551,0.5199089637130813,0.03,1.17333228053046
12,0.6231774624582358,0.5444790715167249,0.02,1.173655368262501
13,0.6970738624443544,0.5467631666979258,0.03,1.398627532897041
14,0.6687012754547266,0.5659040605149329,0.03,1.3998184703135472
15,0.9816001913267514,0.49705713811903995,0.06,1.4318384956426726
16,0.7908759286154625,0.6308598025711083,0.05,1.6561573252446262
17,1.1075514357269756,0.5755822983610912,0.05,1.7339181949779943
18,1.100023570848042,0.6144891168536685,0.04,1.7415391475573365
19,1.2338909470643733,0.5219688924623179,0.07,1.7808739621727976
20,1.3220388170272732,0.5791872375835259,0.07,1.8133044430027905
