generation,avg,stddev,min,max
0,0.02,0.0,0.02,0.02
1,0.021,0.0029999999999999996,0.02,0.03
2,0.0274,0.005589275444992848,0.02,0.04
3,0.032,0.006,0.02,0.04
4,0.03760000000000001,0.00512249938994628,0.02,0.05
5,0.0408,0.005230678732248809,0.03,0.06
6,0.08587171750409724,0.1912877124594493,0.02,1.0253584379329204
7,0.2498089692013064,0.38427665680266526,0.03,1.051229378510317
8,0.728394814098653,0.44387239963589653,0.03,1.051229378510317
9,0.9130282781356569,0.3221428824081486,0.03,1.0565973324534597
10,0.9678075875647382,0.2729315190786531,0.03,1.139473267577113
11,0.9074244718843771,0.37644363891770655,0.03,1.139473267577113
12,0.9618689475903843,0.370871792405398,0.03,1.1654516194644116
13,1.0097354469017068,0.31769268446767673,0.05,1.185347289763896
14,1.092484291698986,0.21351998176215078,0.05,1.185347289763896
15,1.1049600932296022,0.22388913646727887,0.03,1.3755000973052995
16,1.1876337594867028,0.08016774836206988,1.036846170944792,1.3840008642926402
17,1.2113719559566993,0.19828389946680372,0.06,1.5933187827938922
18,1.236247353794514,0.32382667974878937,0.06,1.5933187827938922
19,1.3870948207911777,0.17672709934044567,1.0353145041899134,1.5933187827938922
20,1.4012195744833797,0.37997524558005474,0.03,1.7450318923114685
