generation,avg,stddev,min,max
0,0.02,0.0,0.02,0.02
1,0.0204,0.0019595917942265423,0.02,0.03
2,0.022600000000000002,0.0048207883172775795,0.02,0.04
3,0.030600000000000002,0.0050635955604688655,0.02,0.04
4,0.03660000000000001,0.0051419840528729764,0.02,0.04
5,0.0396,0.0028000000000000004,0.03,0.05
6,0.0408,0.005946427498927403,0.02,0.05
7,0.04739999999999999,0.006575712889109439,0.03,0.06
8,0.0526,0.00626418390534633,0.04,0.07
9,0.07978006407692761,0.1414584687198256,0.03,1.069003203846381
10,0.22530103502893295,0.3701979314198566,0.03,1.1142172572770985
11,0.615960434204142,0.5069478694906675,0.06,1.1834425317013904
12,0.8998706689870672,0.42863008052634144,0.02,1.2224167663009387
13,1.0268861146837345,0.35681524320372526,0.06,1.222416766300939
14,0.8950166467961084,0.5012131893189764,0.02,1.4348226635264494
15,0.9468798680439784,0.506845078903759,0.03,1.4348226635264494
16,1.0826384596036804,0.4949480343232022,0.02,1.5061331684987866
17,1.2629501431055132,0.41408617327828484,0.02,1.5235413812289473
18,1.1868098725093132,0.5017578901958976,0.03,1.5235413812289489
19,1.2996592669956244,0.4268951192503571,0.04,1.5235518574607747
20,1.223608480831438,0.4898928279751151,0.02,1.5536687277609658
