generation,avg,stddev,min,max
0,0.02,0.0,0.02,0.02
1,0.023400000000000004,0.004737087712930804,0.02,0.03
2,0.1447570816933592,0.3485062690438314,0.02,1.218360415165425
3,0.3507531885862965,0.509318138557065,0.02,1.218360415165425
4,0.5238986236168207,0.5770063597148565,0.02,1.5155228187585839
5,0.8909581369331996,0.5662230670872759,0.03,1.5160171025866978
6,0.7791771850289727,0.6136020468624637,0.02,1.5831874184772103
7,1.0907569754923463,0.5071303210259238,0.03,1.7257463677249563
8,1.0470834775319688,0.546425018852966,0.03,1.6168167423764943
9,1.0895571146922907,0.5403730903020422,0.03,1.6908813251369068
10,1.2038799056314822,0.48958036425776125,0.03,1.729653541675989
11,1.2983791545295502,0.4210415413845399,0.05,1.7562689207220852
12,1.1236415352636315,0.5119691568164325,0.02,1.7562689207220852
13,1.1278099452545733,0.5072432525748896,0.03,1.7311980273984244
14,1.2742452554925339,0.35760074157080723,0.03,1.7311980273984244
15,1.2738884832392408,0.34709890511281455,0.05,1.706108805549301
16,1.3716263139325988,0.2781518104423779,0.04,1.8314850173803001
17,1.369340550591389,0.2818537146743576,0.07,1.7310524247547687
18,1.2567982001050735,0.3675777290584616,0.03,1.7301963314249897
19,1.2389574767971991,0.4470857094801942,0.04,1.7301963314249897
20,1.2573824898930348,0.45716439113517643,-1.0,1.7301963314249897
