generation,avg,stddev,min,max
0,0.02,0.0,0.02,0.02
1,0.0208,0.0027129319932501068,0.02,0.03
2,0.025800000000000003,0.004935585071701226,0.02,0.03
3,0.0304,0.0028000000000000004,0.02,0.04
4,0.0322,0.005015974481593782,0.02,0.04
5,0.03840000000000001,0.004176122603564221,0.03,0.05
6,0.04100000000000001,0.005385164807134505,0.02,0.05
7,0.04539999999999999,0.00698856208386246,0.02,0.06
8,0.0504,0.0072,0.02,0.06
9,0.09967247675080483,0.1964604856036649,0.05,1.0680227793709476
10,0.30754751286777854,0.4339816852993621,0.04,1.149447620821749
11,0.8504385936325128,0.44215258667357654,0.05,1.2387898607160965
12,0.8882675406442275,0.4666842149909566,0.06,1.2805411625086693
13,1.0992913883362174,0.3565350272410421,0.05,1.4587742939121513
14,1.160511730014501,0.34339856022633725,0.02,1.4587742939121513
15,1.1626918339073584,0.4268166847381576,0.02,1.5558592208913882
16,1.2122248297475593,0.40364093526517264,0.04,1.5558592208913882
17,1.2778368834962677,0.33869558469706784,0.04,1.5703532286637634
18,1.333493450670828,0.35261248725072425,0.04,1.5703532286637634
19,1.3988262033774417,0.3678911418422196,-1.0,1.6073116209158758
20,1.4567736332232917,0.13081620276128583,1.0789084159149827,1.6073116209158758
