generation,avg,stddev,min,max
0,0.02,0.0,0.02,0.02
1,0.0208,0.003370459909270543,0.01,0.03
2,0.024600000000000004,0.005370288632839021,0.01,0.03
3,0.0296,0.00397994974842648,0.02,0.04
4,0.07345974148763572,0.19057162923607965,0.02,1.0107062347905922
5,0.2175124070712589,0.3760826489079303,0.03,1.1151439347446668
6,0.657903203230019,0.4793844876642648,0.03,1.1439743839357093
7,1.0605692521862908,0.15324808328857778,0.04,1.2397674459711057
8,1.13960181707313,0.06005926519109264,1.0211089021247655,1.2783331937227476
9,1.238254754830328,0.06431215693387378,1.0381853348948242,1.444718422899637
10,1.2906029472038412,0.09738130379896369,1.0570862930601017,1.444997387509811
11,1.3685025486902103,0.11561141264276127,1.0602745614142732,1.4634595797116252
12,1.3924853509587618,0.1201193046078341,1.0753898652109057,1.578736852321069
13,1.412261710591165,0.1355072533629326,1.052795417035162,1.584838576324778
14,1.4314677993460605,0.16475187019871154,1.0359184603581149,1.584838576324778
15,1.4416623314855308,0.1832540233164316,1.016359495872169,1.6671106782798388
16,1.5316822566286388,0.16448951696961153,1.078357619803056,1.6801619286363407
17,1.542512745468501,0.19119971060544602,1.1173759471646842,1.6801619286363407
18,1.5855841351436908,0.17754468998043532,1.0988952404327166,1.7159523658598155
19,1.5840244657809577,0.18240013679581324,1.0891456112889142,1.7159523658598155
20,1.5101331196136676,0.2980969223277701,0.05,1.7159523658598155
