generation,avg,stddev,min,max
0,0.02,0.0,0.02,0.02
1,0.0216,0.0036660605559646715,0.02,0.03
2,0.0282,0.005173006862551025,0.02,0.04
3,0.031400000000000004,0.005660388679233963,0.02,0.05
4,0.039200000000000006,0.006584831053261733,0.03,0.05
5,0.049,0.007549834435270749,0.03,0.07
6,0.05979999999999999,0.007871467461661771,0.04,0.08
7,0.06939999999999999,0.007323933369440223,0.06,0.1
8,0.0762,0.014545102268461368,0.04,0.12
9,0.11706526374761538,0.13039583979818634,0.07,1.0232631873807694
10,0.3191542332893297,0.3817362671687018,0.09,1.1160097813914054
11,0.7152400590228641,0.45196005321810373,0.05,1.1961551991840706
12,1.0381693351677383,0.2425860779329795,0.08,1.1961551991840706
13,1.0477920421909355,0.32431473565138336,0.07,1.2147960313678672
14,1.114591625697533,0.2656838691892094,0.07,1.2598056014778238
15,1.1341902307664438,0.27572034150085,0.06,1.3250186424421941
16,1.1901459111692507,0.23837329219084735,0.08,1.3567599529653285
17,1.1186228560284848,0.3951493333165293,0.07,1.3886746214871313
18,1.2563928471617054,0.2523509196841645,0.07,1.420224005401393
19,1.337162356178755,0.0868518973421306,1.0347689635647024,1.4242694181431965
20,1.3331675080900567,0.19368061585785581,0.08,1.435655881845954
