generation,avg,stddev,min,max
0,0.02,0.0,0.02,0.02
1,0.021400000000000002,0.0034698703145794934,0.02,0.03
2,0.027600000000000003,0.005499090833947008,0.02,0.04
3,0.032600000000000004,0.006264183905346331,0.02,0.05
4,0.0412,0.005878775382679628,0.03,0.06
5,0.049,0.007549834435270749,0.04,0.06
6,0.05859999999999999,0.008946507698538017,0.03,0.09
7,0.068,0.013856406460551019,0.04,0.11
8,0.0866,0.01226539848516957,0.06,0.12
9,0.1044,0.012191800523302536,0.07,0.12
10,0.11539999999999997,0.007269112738154497,0.1,0.13
11,0.12360000000000002,0.007144228439796703,0.1,0.13
12,0.10540000000000001,0.1583440557772852,-1.0,0.15
13,0.113,0.15922625411658717,-1.0,0.15
14,-0.014399999999999984,0.3977042116950737,-1.0,0.15
15,0.056399999999999985,0.31154299863742724,-1.0,0.15
16,-0.17379999999999998,0.5152626126549451,-1.0,0.15
17,-0.037399999999999996,0.42020856726154454,-1.0,0.15
18,-0.015199999999999998,0.39746818740623757,-1.0,0.15
19,0.12480000000000004,0.1607636774896618,-1.0,0.15
20,0.008200000000000011,0.3724443045610981,-1.0,0.15
