generation,avg,stddev,min,max
0,0.02,0.0,0.02,0.02
1,0.0206,0.002374868417407583,0.02,0.03
2,0.024400000000000005,0.004963869458396342,0.02,0.03
3,0.0296,0.0028,0.02,0.04
4,0.031400000000000004,0.0034698703145794956,0.03,0.04
5,0.036000000000000004,0.006000000000000001,0.03,0.05
6,0.044000000000000004,0.006633249580710799,0.03,0.06
7,0.0532,0.008588364221433555,0.03,0.07
8,0.06559999999999999,0.01022936948203554,0.03,0.1
9,0.11757609648218846,0.19971741318108127,0.05,1.0980010620961769
10,0.4129386782390224,0.47392246493262846,0.04,1.2086084262226602
11,0.9294985387787255,0.4224535464427474,0.08,1.320351024353978
12,1.1835948628563424,0.1754287365223925,0.08,1.409825325180953
13,1.2586435564887082,0.19723521527183402,0.06,1.4130267378973842
14,1.3151524073320835,0.20020008918537913,0.06,1.4293062471265157
15,1.1425660910576934,0.580489543932977,-1.0,1.4293062471265157
16,1.2248794647043701,0.41627560610872916,-1.0,1.4301712804168103
17,1.3581877047868531,0.08455665816867845,1.1025634256916015,1.4301712804168103
18,1.3077029242432485,0.12372839503680233,1.0587996746321648,1.4311472134528187
19,1.3269821881598471,0.11472556689336844,1.0733482459237733,1.5090122532394037
20,1.2524064280105023,0.3816276009038499,-1.0,1.5090122532394037
