generation,avg,stddev,min,max
0,-0.01,0.0,-0.01,-0.01
1,-0.010133333333332849,0.0006531972647397953,-0.01333333333332116,-0.01
2,-0.01019999999999927,0.0007916228057996367,-0.01333333333332116,-0.01
3,-0.01026666666663418,0.0009043106643065387,-0.01333333333332116,-0.01
4,-0.010266666666665853,0.0009043106644139404,-0.013333333333329133,-0.01
5,-0.010333333333263528,0.0009999999997905792,-0.01333333333332116,-0.01
6,-0.010066666666666635,0.0004666666666664438,-0.013333333333331742,-0.01
7,-0.010599999999764615,0.0012806248469841692,-0.013333333333331742,-0.01
8,-0.010133333332060847,0.0006531972585082982,-0.013333333333329133,-0.01
9,-0.010066666666666424,0.00046666666666496224,-0.01333333333332116,-0.01
10,-0.010133333333301336,0.0006531972645854208,-0.01333333333332116,-0.01
11,-0.010133746576401545,0.0006552249919112221,-0.013353995486756028,-0.01
12,-0.010133333333332849,0.0006531972647397953,-0.01333333333332116,-0.01
13,-0.010199999999999008,0.0007916228057985976,-0.01333333333332116,-0.01
14,-0.010266666666657619,0.0009043106643860105,-0.013333333333331742,-0.01
15,-0.010199999998889861,0.0007916228014084705,-0.013333333333332935,-0.01
16,-0.01,0.0,-0.01,-0.01
17,-0.01019999999430809,0.0007916227832733007,-0.013333333333331449,-0.01
18,-0.010133333333333052,0.0006531972647408034,-0.013333333333331449,-0.01
19,-0.010066666666666578,0.00046666666666604265,-0.013333333333328876,-0.01
20,-0.01016666666583338,0.0008333333285018326,-0.014999999958374744,-0.01
