generation,avg,stddev,min,max
0,0.02,0.0,0.02,0.02
1,0.0212,0.0032496153618543837,0.02,0.03
2,0.0268,0.006144916598294886,0.02,0.04
3,0.035,0.006403124237432849,0.02,0.05
4,0.04340000000000001,0.006514598989960933,0.03,0.06
5,0.052799999999999986,0.006939740629158988,0.04,0.07
6,0.08259926718677107,0.13688621857419764,0.05,1.039963359338554
7,0.12782593674594403,0.23348984984036494,0.02,1.0995980554121045
8,0.46760643126341817,0.4760587255056419,0.06,1.1125856101245137
9,0.9549425146027446,0.3273662259535,0.06,1.1486751598179896
10,1.0291002507377989,0.24883971021381576,0.03,1.1894871771969115
11,1.1098696816839249,0.15335450318879337,0.09,1.3248903093387394
12,1.1446925664258414,0.16053049909394687,0.09,1.3248903093387394
13,1.1750536434480658,0.31840746158407796,-1.0,1.3685419318071197
14,1.1547391450625033,0.3385740018609749,0.03,1.389372219991657
15,1.1748001494829563,0.37718552841351943,0.07,1.4792770162188766
16,1.1958391110764424,0.36203065421576414,0.03,1.502837278046203
17,1.2427574198892,0.32976800898218717,0.02,1.5532851016477303
18,1.3354813159145282,0.2937092456419195,0.08,1.5532851016477303
19,1.3989655587123278,0.2369269346187659,0.08,1.555886867710056
20,1.4187977322315382,0.24931199359922457,0.07,1.567755020109547
