generation,avg,stddev,min,max
0,-0.01,0.0,-0.01,-0.01
1,-0.01,0.0,-0.01,-0.01
2,-0.010133333333332849,0.0006531972647397953,-0.01333333333332116,-0.01
3,-0.01026666666656679,0.000904310664078006,-0.013333333333331742,-0.01
4,-0.010333333333332115,0.000999999999996348,-0.01333333333332116,-0.01
5,-0.010133333333333059,0.0006531972647408321,-0.013333333333331742,-0.01
6,-0.010066666666665438,0.00046666666665805154,-0.013333333333271797,-0.01
7,-0.01,0.0,-0.01,-0.01
8,-0.01019999999999802,0.0007916228057946899,-0.01333333333332116,-0.01
9,-0.01019999999999927,0.0007916228057996367,-0.01333333333332116,-0.01
10,-0.010133333333331598,0.0006531972647336726,-0.013333333333308033,-0.01
11,-0.010133333333257786,0.0006531972643720666,-0.01333333333332116,-0.01
12,-0.01019999999996776,0.0007916228056749103,-0.01333333333332116,-0.01
13,-0.010133333333332849,0.0006531972647397953,-0.01333333333332116,-0.01
14,-0.010066666666598823,0.00046666666619174616,-0.013333333329941044,-0.01
15,-0.010133333333326076,0.000653197264706623,-0.013333333333331742,-0.01
16,-0.010066666666518079,0.0004666666656265456,-0.013333333325903897,-0.01
17,-0.010066666666666455,0.0004666666666651724,-0.01333333333332266,-0.01
18,-0.01,0.0,-0.01,-0.01
19,-0.01,0.0,-0.01,-0.01
20,-0.010133333147136462,0.0006531963525681911,-0.013333333318686563,-0.01
