generation,avg,stddev,min,max
0,0.02,0.0,0.02,0.02
1,0.021,0.0029999999999999996,0.02,0.03
2,0.024200000000000003,0.004935585071701226,0.02,0.03
3,0.03,0.004,0.02,0.04
4,0.033400000000000006,0.006200000000000001,0.02,0.05
5,0.040999999999999995,0.005,0.03,0.05
6,0.04680000000000001,0.00705407683541936,0.02,0.06
7,0.07460283675334417,0.1553158022175169,0.03,1.1601418376672084
8,0.1954703257722118,0.36440397688222104,0.04,1.3043228145858952
9,0.517978794529463,0.5502097092530122,0.05,1.3569974028335055
10,0.8437790454538017,0.5697913171516764,0.03,1.4559970772794992
11,0.9962000193822261,0.5370371427629964,0.05,1.4560158850767189
12,1.1340183646419906,0.4836512638102853,0.06,1.5455169923976402
13,1.1980280950845796,0.5052304548346179,0.05,1.5455169923976402
14,1.131751568760822,0.5503121064715839,0.06,1.6187999830709923
15,1.2033031674034422,0.4832050626691226,0.05,1.6187999830709923
16,1.1605711101080805,0.5673419531946167,0.03,1.6817798365223005
17,1.116581346498948,0.5861415924244021,0.03,1.6817798365223005
18,1.2905239056513165,0.4573303511399292,0.06,1.7273899852194121
19,1.3808928061482897,0.3977564319060162,0.03,1.7510044645013374
20,1.4171016302673405,0.4488447924828477,0.09,1.7510044645013374
