generation,avg,stddev,min,max
0,0.02,0.0,0.02,0.02
1,0.0208,0.0027129319932501068,0.02,0.03
2,0.0262,0.0062896740774065546,0.02,0.04
3,0.035,0.00574456264653803,0.02,0.04
4,0.040999999999999995,0.0030000000000000005,0.04,0.05
5,0.045,0.008306623862918075,0.03,0.08
6,0.0554,0.009840731680114035,0.04,0.08
7,0.0668,0.01156546583584077,0.04,0.08
8,0.09767395048523551,0.1428330665081951,0.04,1.0936975242617752
9,0.19002848768945646,0.29802796587769553,0.04,1.1416083232883647
10,0.5385024596605077,0.4917248316666987,0.06,1.3770918561500345
11,0.8530259360983758,0.466601963109718,0.04,1.3770918561500345
12,0.8870180347337466,0.5289722993254834,0.04,1.5812443712781046
13,0.9928973232872085,0.5392916176056082,0.03,1.5812443712781046
14,1.2334585970833656,0.38576084390390913,0.04,1.5812443712781046
15,1.1958999802813555,0.49599360209155563,0.06,1.6135400406834859
16,1.1941993960491633,0.5684512068724066,0.03,1.6135400406834859
17,1.0742553987766998,0.6015380538989358,0.03,1.6135400406834859
18,1.2783266645890108,0.49329359553000757,0.03,1.6135400406834859
19,1.1714824378525954,0.5598195164282126,0.07,1.71120525066554
20,1.2342914022622382,0.5855333052324704,0.05,1.7270381451505847
