generation,avg,stddev,min,max
0,0.02,0.0,0.02,0.02
1,0.023400000000000004,0.004737087712930804,0.02,0.03
2,0.09748035978062321,0.27149365765348005,0.02,1.2193244258787326
3,0.24183422270702315,0.44303862523826193,0.02,1.2295809828088387
4,0.6014539477524168,0.5852678129467431,0.03,1.3172137161021502
5,0.787950491369364,0.5650821053592507,0.02,1.5159963011742015
6,0.9915915185125569,0.5134832076211091,0.02,1.5159963011742015
7,0.9876402537475806,0.508703121283594,0.04,1.515986362206259
8,1.092225154346901,0.5070441166115616,0.03,1.811397426266192
9,1.065076820030143,0.4957478667097035,0.02,1.811397426266192
10,1.02359501086966,0.5367537128212159,0.02,1.705123662646921
11,1.1512360014368113,0.4654218164664482,0.03,1.705123662646921
12,1.0923222825510692,0.5069272652641971,0.03,1.7034525213974865
13,1.0175640472734582,0.591966860797266,0.03,1.6153855039164378
14,1.0830068041317298,0.5420670202096163,0.03,1.8129780019932684
15,1.3070330272943504,0.4564939867066355,0.02,1.8129780019932684
16,1.1659134307461025,0.5269612759630476,0.03,1.857621013890998
17,1.232866734651886,0.4712525127886451,0.03,1.8128264797125984
18,1.1491860077670903,0.5157532857745936,0.02,1.756249154391329
19,1.1781611017827445,0.4598337685836553,0.02,1.8431983913164633
20,1.330111227835013,0.34056849087372615,0.02,1.8431983913164633
