generation,avg,stddev,min,max
0,0.02,0.0,0.02,0.02
1,0.021,0.0029999999999999996,0.02,0.03
2,0.026000000000000006,0.006633249580710799,0.02,0.05
3,0.033,0.00670820393249937,0.02,0.05
4,0.044,0.007483314773547883,0.03,0.07
5,0.053599999999999995,0.010910545357588685,0.03,0.1
6,0.0678,0.015911002482559045,0.05,0.1
7,0.09300000000000001,0.012688577540449523,0.04,0.11
8,0.10359999999999997,0.014388884598883957,0.05,0.15
9,0.1202,0.018274572498419763,0.08,0.15
10,0.0524,0.3105579495037923,-1.0,0.15
11,0.03400000000000001,0.344679561331971,-1.0,0.15
12,0.055800000000000016,0.31146165092993394,-1.0,0.15
13,-0.035,0.42117573529347574,-1.0,0.15
14,0.10340000000000002,0.22524306870578728,-1.0,0.15
15,0.030999999999999996,0.34385025810663566,-1.0,0.15
16,0.02962689627501364,0.40242380280882967,-1.0,1.0913448137506818
17,-0.06450621945164486,0.5321690518563372,-1.0,1.1622465186786781
18,0.04386849598008498,0.480495474198154,-1.0,1.1622465186786781
19,0.22949409601003673,0.5644799059288867,-1.0,1.181273304823284
20,0.577105376638,0.7971775632187594,-1.0,1.1962799317691974
