generation,avg,stddev,min,max
0,0.02,0.0,0.02,0.02
1,0.0204,0.001959591794226542,0.02,0.03
2,0.023000000000000003,0.00458257569495584,0.02,0.03
3,0.027999999999999997,0.00447213595499958,0.02,0.04
4,0.0316,0.005782732917920384,0.02,0.05
5,0.03900000000000001,0.0060827625302982205,0.03,0.05
6,0.04699999999999999,0.007,0.03,0.07
7,0.053599999999999995,0.009748846085563154,0.03,0.08
8,0.06760000000000001,0.013350655414622908,0.04,0.12
9,0.1276515376011298,0.20276445461178388,0.04,1.1239432625590928
10,0.3261946264744398,0.5167008431779399,-1.0,1.2165203620873553
11,0.8097553005733359,0.498729886662964,0.03,1.3556447936455989
12,1.0335415825630916,0.43100435187531455,0.03,1.424902944796204
13,1.1738537118799994,0.4348252258180968,-1.0,1.4829709620630043
14,1.204133889716007,0.4512787868297504,-1.0,1.508429895530969
15,1.1858604996629125,0.5404993595648895,-1.0,1.5549531435266548
16,1.3166007568996019,0.4940744007204058,-1.0,1.6293951393353958
17,1.465814783113293,0.3218800974943343,0.03,1.7507935339826974
18,1.4790019537563412,0.2750685685249848,0.03,1.7548131342853153
19,1.5423738330330627,0.2784802439193281,0.06,1.8750315815301972
20,1.5929296689290187,0.41160925810871946,-1.0,1.8750315815302026
