generation,avg,stddev,min,max
0,0.02,0.0,0.02,0.02
1,0.02,0.004,0.01,0.03
2,0.043602054698144606,0.13965333014792106,0.01,1.0201027349072305
3,0.0901680628041005,0.23662205403380443,0.02,1.0662988088565761
4,0.35780569659601724,0.47309230786971296,0.02,1.2052167590086127
5,0.9553686444925035,0.34413666282421024,0.03,1.2368646085517263
6,1.1133869270282355,0.22757644391337295,0.04,1.237558303437743
7,1.2053671040844656,0.06862555756310053,1.0104527546401896,1.3818917265386468
8,1.246179568998041,0.08179951693525102,1.0351789664679385,1.4265479648223838
9,1.3401673767704818,0.09077099068196655,1.1579251771940715,1.5789147930630774
10,1.456164788133903,0.10077521433070276,1.1456243241265638,1.6718285184099888
11,1.517008767270388,0.15448638954297692,1.0637950332461377,1.8139872352441437
12,1.611088668017009,0.16160749763871463,1.168640960012177,1.8139872352441437
13,1.7200681902229895,0.11002088209326442,1.3493392174853684,1.8708767294594995
14,1.7337778592198476,0.1732816281357528,1.2145396289029495,1.8736415789158412
15,1.7964492555572513,0.12523081019385826,1.3482871159512642,1.8732159209697268
16,1.823809308746223,0.13941365857266175,1.3414154495138202,1.918524315909881
17,1.8507023245525653,0.12478189106293347,1.335431485956589,1.950975406106442
18,1.8859097241698453,0.07833016269812366,1.4280971731951626,1.9744604670049584
19,1.9184350947751767,0.10267167627258882,1.2893623601215092,2.0262511384586306
20,1.846014669424292,0.2438867204102952,1.2424848975186598,2.0930037717030148
