generation,avg,stddev,min,max
0,0.2183692722588085,2.7755575615628914e-17,0.21836927225880853,0.21836927225880853
1,0.053906379165743076,0.10823599650262145,-0.015000014758899108,0.35651655830554146
2,0.10735818029972385,0.129104503716074,-0.01999999999999945,0.3565165905973956
3,0.13055181023613083,0.13225605231942014,-0.016000103056702936,0.5145370512091345
4,0.15723138533781597,0.11636330985692561,-0.016666683432089165,0.47996779921334465
5,0.195810165054141,0.1167175554995267,-0.01600003369452894,0.4791256486474148
6,0.24246433509403267,0.13364318880810502,-0.01714285865075838,0.5145370512091345
7,0.22628791785895241,0.13283851711922326,-0.01999998664442074,0.5142025635553091
8,0.2644791715959988,0.1212810912617749,-0.01714285948962008,0.44554000284215983
9,0.31441018598380277,0.1077159613296716,-0.016000087124332433,0.47834817019450976
10,0.2565344043028922,0.146150456496417,-0.020000012387731355,0.6102042654256875
11,0.29613528789107785,0.1406886396725045,-0.016666583862515558,0.6102042654256875
12,0.29772788925479376,0.14463898433747294,-0.01777775571634629,0.6102042654256875
13,0.29517265402869525,0.1419647002503441,-0.02000000703781242,0.583848848710024
14,0.288974957860562,0.16951090468015698,-0.017500033748441477,0.6054138281377925
15,0.31567594944614913,0.17585309522754455,-0.01600000191897981,0.6498520329183142
16,0.3065336500563392,0.1857936459649671,-0.017500033748441477,0.635584800740886
17,0.3399640877777374,0.1538518837419115,-0.01666670284979899,0.6052564815111073
18,0.3300133349272835,0.19139210841902304,-0.017500045712854247,0.7238674302065717
19,0.2723520751113383,0.20383797826696756,-0.01999999578051796,0.6932337967494956
20,0.36066729984155527,0.19978784543490324,-0.017142838223961763,0.7025502894922209
21,0.3234215691077636,0.21542172559028694,-0.017999994296280082,0.808746515713633
22,0.27733151753210306,0.20411866010117366,-0.01999999999999945,0.790243597293313
23,0.2797346387977903,0.20163570988992735,-0.017142838297818493,0.7282947053869352
24,0.29084762145290155,0.1609912676514249,-0.017777762294330604,0.6480740811431018
25,0.31650015326152425,0.1641055069198559,-0.016666645379981315,0.61608428686663
26,0.3230404423444928,0.21566275296997964,-0.01999996143976193,0.7064189121995249
27,0.33067119627990044,0.17786353906257005,-0.01666664368306666,0.7299601466904084
28,0.32953818059284934,0.19187946439267942,-0.01999999999999945,0.7064189121995249
29,0.4131593082079176,0.22702551624459089,-0.016666630541300503,0.8573415423732776
30,0.42202133575182066,0.2230651601786202,-0.017142878167690986,0.8573415423732776
31,0.35151128831689255,0.22017335261439042,-0.01999996143976193,0.7463361392887986
32,0.34504074522315664,0.2030123271241989,-0.015999935647922056,0.7665713247544707
33,0.30115002018112186,0.21154747784993316,-0.017500009417391334,0.7728718623170627
34,0.3590260589239895,0.21626192812257228,-0.016666738547580256,0.8311203522407133
35,0.29793208019981626,0.19282690349680437,-0.01999999357588547,0.7035308499696387
36,0.35421865055495033,0.20086407375229273,-0.015000003572238166,0.7064313094494646
37,0.32629137175013023,0.20901568039596563,-0.020000003478573575,0.7066496690914972
38,0.3913572631926732,0.22151181110215046,-0.01999996929197671,0.7728718623170627
39,0.353321101730367,0.2159301703799016,-0.01999997449026174,0.7096223359550994
40,0.33082224615298855,0.1957318958221059,-0.020000080465571817,0.7524799999688817
41,0.37578912370411316,0.22575113447688613,-0.019999966751726557,0.7066496690914972
42,0.39856716459723546,0.21915663117874018,-0.015000007615554287,0.7066496690914972
43,0.3529426669827014,0.24642148634919417,-0.016666632720089364,0.7956456518104665
44,0.3354362050885716,0.21859618371894654,-0.017499968935212457,0.7062854255867306
45,0.30964334859899867,0.18707428611474922,-0.0166665790226016,0.7064189121995249
46,0.3919015456821414,0.18986051193816486,-0.015000096830079352,0.7956456518104665
47,0.38094644427241314,0.20537359731567736,-0.01333333283630947,0.7956456518104665
48,0.3486296193702582,0.1974765155512197,-0.01599993141616619,0.7956456518104665
49,0.3861711516630656,0.20291996141770557,-0.015000168796087931,0.7257410368862529
50,0.4010780759126336,0.16941573361743212,-0.009999999999999724,0.7059212241300317
51,0.3725112994668455,0.21898533272146906,-0.01750005641137951,0.710912112580745
