generation,avg,stddev,min,max
0,0.0,0.0,0.0,0.0
1,1.4159406360821804e-12,1.2180381910402148e-11,0.0,1.0619554770616353e-10
2,8.242944579379398e-09,6.864887697342725e-08,0.0,5.984718099295836e-07
3,4.086910340691996e-08,1.4872804685632465e-07,0.0,5.984718099295836e-07
4,1.5048080361652715e-07,2.526961681410828e-07,0.0,5.984718099295836e-07
5,4.142046650560104e-07,2.5234194174819336e-07,0.0,6.070315688178072e-07
6,4.990896994324833e-07,1.9760702296544922e-07,1.0619554770616353e-10,6.48592402373324e-07
7,5.280086705892816e-07,1.6331626452262627e-07,1.7600824481380176e-08,7.079115198127877e-07
8,5.246650782978509e-07,1.8220947361063236e-07,2.493206966318856e-09,7.079115198127877e-07
9,5.636297940123106e-07,1.913055895959265e-07,4.795094311574492e-10,7.095004415822167e-07
10,3.2525267924421148e-06,2.296978712374094e-05,4.029703775402263e-09,0.00020083864292384646
11,5.908722106163981e-06,3.181454716963813e-05,4.030876398785917e-09,0.000199640683039408
12,2.9602019277248006e-05,7.000522676713701e-05,4.0297037754061596e-09,0.00022480139290469747
13,-0.01326573060013614,0.11470556867666154,-1.0,0.0002550507396414012
14,0.000121605329732284,0.00011021346721812527,1.2795362584751615e-10,0.00047746474938237444
15,0.00016080872866774162,0.0001533399961533579,6.451478545278356e-08,0.0008598940719618185
16,-0.02640319689855367,0.1611511594217725,-1.0,0.0011578110181030097
17,-0.012897968630687822,0.11474902809128194,-1.0,0.0014619705099146489
18,0.0007570153583023993,0.0004965046659847903,4.918142500892554e-09,0.001662486408826364
19,-0.03911070490337704,0.19614144909615425,-1.0,0.0016681191584111514
20,0.0010372138359380195,0.0006593302809576804,2.259957407103294e-08,0.002097542963314057
