generation,avg,stddev,min,max
0,0.0,0.0,0.0,0.0
1,1.271087497260776e-11,1.0934308094308346e-10,0.0,9.53315622945582e-10
2,4.522200385982937e-09,3.76096624867033e-08,0.0,3.27970675058869e-07
3,2.9164580593984877e-08,9.105907221543697e-08,0.0,3.575725731680036e-07
4,7.100920739847043e-08,1.2495814581345976e-07,0.0,3.3960184221959457e-07
5,1.837710334849319e-07,1.393692690757424e-07,6.938893903907229e-22,3.729476130452043e-07
6,2.903229552611313e-07,1.1989276825150513e-07,7.146874358974404e-10,5.295914309613018e-07
7,3.261750827332231e-07,1.5164959935256228e-07,9.664482806164744e-10,1.0024736000208513e-06
8,1.992036162964454e-06,1.3916974914841704e-05,9.664482806164744e-10,0.00012169829389547797
9,8.111936870615382e-06,3.414735611265681e-05,9.53315622945582e-10,0.00022622923685425547
10,3.681685531380627e-05,7.838107907717323e-05,0.0,0.00034809178830912715
11,0.00010865039608042871,0.00015041770778572886,0.0,0.0008470173067723261
12,0.00015691965345547573,0.00018059643256695674,0.0,0.0008470173067723261
13,-0.013160460547863226,0.11471791857888404,-1.0,0.0008470173067723261
14,-0.013118604233228623,0.11472279295732349,-1.0,0.0008470173067723261
15,0.00023609569310185924,0.00023872553378480064,0.0,0.0008470173067723261
16,-0.026402558488539837,0.16115118423064045,-1.0,0.0008470173067723261
17,-0.013028589977759021,0.11473371017108593,-1.0,0.002385542570296591
18,0.00042090768520902893,0.0005101747268220743,0.0,0.002385542570296591
19,0.00045674648463480126,0.0005986439235607672,0.0,0.002385542570296591
20,0.0005035984569457598,0.0006818842435898905,0.0,0.002385542570296591
