generation,avg,stddev,min,max
0,0.0,0.0,0.0,0.0
1,4.115981190254369e-11,3.540700899159129e-10,0.0,3.0869858926902565e-09
2,2.0594990422750656e-10,7.569218834567891e-10,0.0,3.0869858926902565e-09
3,5.078224664715156e-09,3.631513612711323e-08,0.0,3.1686076172454505e-07
4,2.7703182515952843e-08,8.124241805507919e-08,0.0,3.1686076172454505e-07
5,5.9409355093891045e-08,1.1255583342826912e-07,0.0,3.508728384202752e-07
6,1.4000621582018936e-07,1.5117066593381587e-07,0.0,5.317012276868711e-07
7,2.7685644232879195e-07,1.5632223980950246e-07,2.7767393786566703e-10,5.322506082382478e-07
8,3.4160666551031705e-07,1.701624694404239e-07,1.2445786932926479e-09,5.353462022468219e-07
9,-0.013332919578978544,0.11469771832531249,-1.0,6.27372036298388e-07
10,3.915697536070346e-07,2.6343066661899003e-07,1.0187281789898376e-10,1.486379617095922e-06
11,4.406024289400779e-06,2.909041661992235e-05,3.984675399983403e-10,0.00025171193525495134
12,1.4026510680885232e-05,5.064083214789708e-05,3.984675399983403e-10,0.0002560071074831816
13,4.484981663802929e-05,8.07753911897296e-05,0.0,0.00026017896993880496
14,8.827669161989314e-05,9.700259251844935e-05,3.1259717037102064e-19,0.0002651124803809998
15,0.00011888619935785568,0.00010179192037148263,1.7108200646614166e-10,0.0002651124803809998
16,0.00015435153728084755,0.00010398119215806135,4.1924306412588856e-07,0.00026563997888282416
17,0.0001865248725816618,0.00010233808620751971,3.984675399983403e-10,0.00028763868395313615
18,-0.026511752838114872,0.16113295813049675,-1.0,0.00032936371680526114
19,0.00018416387490452916,0.00010935136438098241,2.935515553489255e-07,0.00044994786899764795
20,0.00019420403571315524,0.00010985814031059848,4.916389437131984e-07,0.00047203484849782986
