generation,avg,stddev,min,max
0,0.25,0.0,0.25,0.25
1,0.29375,0.05962120008855909,0.25,0.375
2,0.35625,0.09078649403958719,0.25,0.5
3,0.44375,0.1066170131826999,0.25,0.75
4,0.5673749440908432,0.15966623002749972,0.25,1.61249440908432
5,0.7513009925352202,0.26313405653192357,0.25,1.6912764310836792
6,0.9978087532604585,0.3764193185017375,0.375,1.7513937950134277
7,1.0869421296693043,0.43889874683122737,0.25,1.77585107088089
8,1.16948777459908,0.43981135678778427,0.375,1.7842313647270203
9,1.2305266886371555,0.43921461178595134,0.375,1.79960298538208
10,1.2189694391568688,0.4592696997856687,0.6153846153846154,1.8054184913635254
11,1.25524141101839,0.46849943387564646,0.375,1.8054184913635254
12,1.188538197499611,0.4500387463295812,0.375,1.8120710253715515
13,1.1117870433318495,0.43177762858772123,0.5,1.8053393959999084
14,1.1458119449698048,0.43382469946729946,0.5,1.813012957572937
15,1.1365762100880148,0.4401236031140745,0.5,1.7930959463119507
16,1.138144941268651,0.45147920438441824,0.375,1.877925992012024
17,1.1670312124941957,0.435424520313338,0.5,1.871634304523468
18,1.1200736262147415,0.470277449844358,0.375,1.82961905002594
19,1.2321106010387828,0.46232931780231123,0.25,1.8560596108436584
20,1.1404956225229033,0.4464350756726819,0.5,1.8572195768356323
21,1.1705643405644766,0.43770116025370426,0.5333333333333333,1.8199023008346558
22,1.0868248747260036,0.44757816162828945,0.25,1.821418285369873
23,1.1205261906082535,0.43280138242097316,0.375,1.8199023008346558
24,1.1086678229913236,0.43572062676502904,0.375,1.8199023008346558
25,1.1095080175785101,0.43401317740434975,0.25,1.815228819847107
26,1.1473575590457248,0.46919359249770787,0.375,1.8367570638656616
27,1.144121660879872,0.4493772132938342,0.375,1.8554438352584839
28,,,,
29,1.2291352616065032,0.4659300372570705,0.375,1.8766170144081116
30,1.1652458575769593,0.4482465875552908,0.5333333333333333,1.8766170144081116
31,1.2066509203983076,0.46892050460077844,0.5,1.8767902851104736
32,1.1405859630491482,0.4624248866994023,0.375,1.8767902851104736
33,1.0426263077536015,0.4187765200522271,0.5,1.8758734464645386
34,1.1985419443576208,0.5107781789782764,-1.0,1.8753071427345276
35,1.1192735283801922,0.45540340494908643,0.5,1.8753071427345276
36,1.127420299357944,0.5171674058931983,-1.0,1.8753071427345276
37,1.087223027328617,0.439953488512203,0.375,1.8753071427345276
38,1.0241302977117983,0.4131445252837077,0.375,1.8753071427345276
39,1.1041966641734715,0.4501819061924902,0.25,1.8753071427345276
40,1.1314600648640236,0.4646933347441971,0.5,1.8752819299697876
41,1.0337069789610398,0.4187790276106114,0.5,1.8753071427345276
42,1.0565940860607261,0.44409828357443853,0.5,1.8753071427345276
43,1.1353445515654992,0.45807498895308957,0.375,1.8753071427345276
44,1.0270536400350194,0.41855796235308473,0.6153846153846154,1.8784252405166626
